"employee_id","sto_avg","gtq","papi_v_avg","sto_norm","gtq_norm","papi_norm","success_score"
"EMP100328",4.4,38.0,9.0,85.0,78.37837837837837,100.0,84.34
"EMP100646",4.6,37.0,8.0,90.0,75.67567567567568,87.5,83.2
"EMP100645",4.4,37.0,8.0,85.0,75.67567567567568,87.5,81.21
"EMP100996",3.4,43.0,9.0,60.0,91.89189189189189,100.0,80.45
"EMP100039",3.6,41.0,9.0,65.0,86.48648648648648,100.0,80.02
"EMP100943",3.6,42.0,8.0,65.0,89.1891891891892,87.5,79.3
"EMP101305",4.6,40.0,4.0,90.0,83.78378378378379,37.5,79.13
"EMP101367",3.8,43.0,5.0,70.0,91.89189189189189,50.0,76.73
"EMP101811",3.6,38.0,9.0,65.0,78.37837837837837,100.0,76.38
"EMP100924",4.0,36.0,8.0,75.0,72.97297297297297,87.5,76.02
"EMP101794",4.2,39.0,5.0,80.0,81.08108108108108,50.0,75.86
"EMP101938",4.2,34.0,8.0,80.0,67.56756756756756,87.5,75.59
"EMP100180",3.6,42.0,6.0,65.0,89.1891891891892,62.5,75.45
"EMP101993",3.8,45.0,3.0,70.0,97.29729729729729,25.0,75.3
"EMP100274",3.4,40.0,8.0,60.0,83.78378378378379,87.5,74.89
"EMP100975",4.2,38.0,5.0,80.0,78.37837837837837,50.0,74.65
"EMP101363",3.2,43.0,7.0,55.0,91.89189189189189,75.0,74.61
"EMP100353",3.2,41.0,8.0,55.0,86.48648648648648,87.5,74.11
"EMP101044",3.2,41.0,8.0,55.0,86.48648648648648,87.5,74.11
"EMP101356",3.0,41.0,9.0,50.0,86.48648648648648,100.0,74.05
"EMP101836",3.8,39.0,6.0,70.0,81.08108108108108,62.5,73.81
"EMP101848",3.6,39.0,7.0,65.0,81.08108108108108,75.0,73.74
"EMP101150",3.4,39.0,8.0,60.0,81.08108108108108,87.5,73.68
"EMP100282",4.2,37.0,5.0,80.0,75.67567567567568,50.0,73.44
"EMP100751",3.2,42.0,7.0,55.0,89.1891891891892,75.0,73.4
"EMP101337",3.6,40.0,6.0,65.0,83.78378378378379,62.5,73.03
"EMP100440",3.6,40.0,6.0,65.0,83.78378378378379,62.5,73.03
"EMP100838",3.6,35.0,9.0,65.0,70.27027027027027,100.0,72.75
"EMP101879",3.6,35.0,9.0,65.0,70.27027027027027,100.0,72.75
"DUP3452",3.2,38.0,9.0,55.0,78.37837837837837,100.0,72.4
"EMP100438",3.2,38.0,9.0,55.0,78.37837837837837,100.0,72.4
"EMP101207",3.8,33.0,9.0,70.0,64.86486486486487,100.0,72.32
"EMP100052",3.6,36.0,8.0,65.0,72.97297297297297,87.5,72.04
"EMP100032",3.4,36.0,9.0,60.0,72.97297297297297,100.0,71.97
"EMP101979",4.0,39.0,4.0,75.0,81.08108108108108,37.5,71.95
"EMP101014",4.0,39.0,4.0,75.0,81.08108108108108,37.5,71.95
"EMP100234",4.0,31.0,9.0,75.0,59.45945945945946,100.0,71.89
"EMP101849",3.6,39.0,6.0,65.0,81.08108108108108,62.5,71.82
"EMP100910",3.4,39.0,7.0,60.0,81.08108108108108,75.0,71.75
"EMP101738",3.2,39.0,8.0,55.0,81.08108108108108,87.5,71.69
"EMP100186",4.0,37.0,5.0,75.0,75.67567567567568,50.0,71.45
"EMP100969",3.4,37.0,8.0,60.0,75.67567567567568,87.5,71.26
"EMP101065",3.4,37.0,8.0,60.0,75.67567567567568,87.5,71.26
"EMP101604",3.2,37.0,9.0,55.0,75.67567567567568,100.0,71.19
"EMP100319",4.0,32.0,8.0,75.0,62.16216216216216,87.5,71.17
"EMP101424",3.8,32.0,9.0,70.0,62.16216216216216,100.0,71.11
"EMP100888",3.4,40.0,6.0,60.0,83.78378378378379,62.5,71.04
"EMP100350",4.4,27,9.0,85.0,48.648648648648646,100.0,71.02
"EMP100605",4.4,27,9.0,85.0,48.648648648648646,100.0,71.02
"EMP100031",3.8,35.0,7.0,70.0,70.27027027027027,75.0,70.89
"EMP101175",2.8,40.0,9.0,45.0,83.78378378378379,100.0,70.85
"EMP100660",3.6,35.0,8.0,65.0,70.27027027027027,87.5,70.83
"EMP100551",3.6,35.0,8.0,65.0,70.27027027027027,87.5,70.83
"EMP101423",3.8,33.0,8.0,70.0,64.86486486486487,87.5,70.39
"EMP100208",3.6,33.0,9.0,65.0,64.86486486486487,100.0,70.33
"EMP100086",3.6,36.0,7.0,65.0,72.97297297297297,75.0,70.11
"EMP101583",4.2,39.0,2.0,80.0,81.08108108108108,12.5,70.09
"EMP101835",4.6,26.0,8.0,90.0,45.945945945945944,87.5,69.88
"EMP101525",3.4,39.0,6.0,60.0,81.08108108108108,62.5,69.83
"EMP101752",3.4,34.0,9.0,60.0,67.56756756756756,100.0,69.55
"EMP101494",3.4,34.0,9.0,60.0,67.56756756756756,100.0,69.55
"EMP101551",3.4,34.0,9.0,60.0,67.56756756756756,100.0,69.55
"EMP101792",4.2,29.0,8.0,80.0,54.054054054054056,87.5,69.53
"EMP101234",3.0,42.0,6.0,50.0,89.1891891891892,62.5,69.48
"EMP100159",4.0,29.0,9.0,75.0,54.054054054054056,100.0,69.47
"EMP100050",4.2,32.0,6.0,80.0,62.16216216216216,62.5,69.31
"EMP101196",3.2,37.0,8.0,55.0,75.67567567567568,87.5,69.27
"EMP101844",3.8,32.0,8.0,70.0,62.16216216216216,87.5,69.18
"EMP100957",3.8,32.0,8.0,70.0,62.16216216216216,87.5,69.18
"EMP100766",3.5,36.0,7.0,62.5,72.97297297297297,75.0,69.12
"EMP101859",2.8,40.0,8.0,45.0,83.78378378378379,87.5,68.92
"EMP101568",3.4,35.0,8.0,60.0,70.27027027027027,87.5,68.84
"EMP100022",3.4,35.0,8.0,60.0,70.27027027027027,87.5,68.84
"EMP100953",3.2,43.0,4.0,55.0,91.89189189189189,37.5,68.83
"EMP100884",3.8,30.0,9.0,70.0,56.75675675675676,100.0,68.69
"EMP101381",3.6,38.0,5.0,65.0,78.37837837837837,50.0,68.68
"EMP100927",3.4,38.0,6.0,60.0,78.37837837837837,62.5,68.62
"EMP100084",3.25,36.0,8.0,56.25,72.97297297297297,87.5,68.55
"EMP100327",4.0,33.0,6.0,75.0,64.86486486486487,62.5,68.53
"EMP101548",3.8,41.0,2.0,70.0,86.48648648648648,12.5,68.53
"EMP100787",3.4,41.0,4.0,60.0,86.48648648648648,37.5,68.4
"EMP100624",3.4,33.0,9.0,60.0,64.86486486486487,100.0,68.34
"EMP100330",4.0,36.0,4.0,75.0,72.97297297297297,37.5,68.32
"EMP101343",4.0,36.0,4.0,75.0,72.97297297297297,37.5,68.32
"EMP101802",3.8,36.0,5.0,70.0,72.97297297297297,50.0,68.25
"EMP100080",3.6,36.0,6.0,65.0,72.97297297297297,62.5,68.19
"EMP101503",3.6,36.0,6.0,65.0,72.97297297297297,62.5,68.19
"EMP100821",3.4,36.0,7.0,60.0,72.97297297297297,75.0,68.12
"EMP100038",3.0,36.0,9.0,50.0,72.97297297297297,100.0,67.99
"DUP9129",3.0,36.0,9.0,50.0,72.97297297297297,100.0,67.99
"EMP101272",3.0,36.0,9.0,50.0,72.97297297297297,100.0,67.99
"EMP101322",3.8,31.0,8.0,70.0,59.45945945945946,87.5,67.97
"EMP100259",4.4,34.0,3.0,85.0,67.56756756756756,25.0,67.95
"EMP100145",3.6,31.0,9.0,65.0,59.45945945945946,100.0,67.91
"EMP101212",3.0,39.0,7.0,50.0,81.08108108108108,75.0,67.77
"EMP100243",3.8,34.0,6.0,70.0,67.56756756756756,62.5,67.76
"EMP101574",4.4,37.0,1.0,85.0,75.67567567567568,0.0,67.73
"EMP101342",3.6,34.0,7.0,65.0,67.56756756756756,75.0,67.69
"EMP101240",3.6,34.0,7.0,65.0,67.56756756756756,75.0,67.69
"EMP101131",3.4,34.0,8.0,60.0,67.56756756756756,87.5,67.63
"EMP100718",3.2,34.0,9.0,55.0,67.56756756756756,100.0,67.56
"EMP101745",3.2,34.0,9.0,55.0,67.56756756756756,100.0,67.56
"EMP101672",3.6,37.0,5.0,65.0,75.67567567567568,50.0,67.47
"EMP101535",4.2,32.0,5.0,80.0,62.16216216216216,50.0,67.39
"EMP100507",3.8,32.0,7.0,70.0,62.16216216216216,75.0,67.26
"EMP100885",3.2,40.0,5.0,55.0,83.78378378378379,50.0,67.13
"EMP101112",3.2,40.0,5.0,55.0,83.78378378378379,50.0,67.13
"EMP100097",3.4,32.0,9.0,60.0,62.16216216216216,100.0,67.13
"EMP101884",4.2,27,8.0,80.0,48.648648648648646,87.5,67.11
"EMP101010",3.8,35.0,5.0,70.0,70.27027027027027,50.0,67.04
"EMP100466",3.8,35.0,5.0,70.0,70.27027027027027,50.0,67.04
"EMP101046",3.0,35.0,9.0,50.0,70.27027027027027,100.0,66.78
"EMP101504",3.6,30.0,9.0,65.0,56.75675675675676,100.0,66.7
"EMP100778",4.2,25.0,9.0,80.0,43.24324324324324,100.0,66.61
"EMP101877",3.8,33.0,6.0,70.0,64.86486486486487,62.5,66.54
"EMP100717",3.4,41.0,3.0,60.0,86.48648648648648,25.0,66.48
"EMP100434",3.6,33.0,7.0,65.0,64.86486486486487,75.0,66.48
"EMP101007",3.4,33.0,8.0,60.0,64.86486486486487,87.5,66.41
"EMP100107",3.0,41.0,5.0,50.0,86.48648648648648,50.0,66.35
"EMP101870",3.2,33.0,9.0,55.0,64.86486486486487,100.0,66.35
"EMP100857",2.0,46.0,7.0,25.0,100.0,75.0,66.3
"EMP100309",3.8,28.0,9.0,70.0,51.351351351351354,100.0,66.27
"EMP100278",3.8,28.0,9.0,70.0,51.351351351351354,100.0,66.27
"EMP101827",3.8,28.0,9.0,70.0,51.351351351351354,100.0,66.27
"EMP100326",3.6,36.0,5.0,65.0,72.97297297297297,50.0,66.26
"EMP100642",3.6,39.0,3.0,65.0,81.08108108108108,25.0,66.04
"EMP100310",3.6,31.0,8.0,65.0,59.45945945945946,87.5,65.98
"EMP101950",3.6,31.0,8.0,65.0,59.45945945945946,87.5,65.98
"EMP101289",3.4,31.0,9.0,60.0,59.45945945945946,100.0,65.92
"EMP100219",3.2,39.0,5.0,55.0,81.08108108108108,50.0,65.91
"EMP100306",3.2,39.0,5.0,55.0,81.08108108108108,50.0,65.91
"EMP101615",3.2,39.0,5.0,55.0,81.08108108108108,50.0,65.91
"EMP100994",4.0,34.0,4.0,75.0,67.56756756756756,37.5,65.9
"EMP100003",2.8,39.0,7.0,45.0,81.08108108108108,75.0,65.78
"EMP101229",3.4,34.0,7.0,60.0,67.56756756756756,75.0,65.7
"EMP100025",3.4,34.0,7.0,60.0,67.56756756756756,75.0,65.7
"EMP101148",3.4,34.0,7.0,60.0,67.56756756756756,75.0,65.7
"EMP101806",3.4,34.0,7.0,60.0,67.56756756756756,75.0,65.7
"EMP101379",4.2,29.0,6.0,80.0,54.054054054054056,62.5,65.68
"EMP100386",3.2,34.0,8.0,55.0,67.56756756756756,87.5,65.64
"EMP101924",3.8,29.0,8.0,70.0,54.054054054054056,87.5,65.55
"EMP100352",3.8,29.0,8.0,70.0,54.054054054054056,87.5,65.55
"EMP101544",3.4,37.0,5.0,60.0,75.67567567567568,50.0,65.48
"EMP100905",3.8,40.0,1.0,70.0,83.78378378378379,0.0,65.4
"EMP101809",4.2,24.0,9.0,80.0,40.54054054054054,100.0,65.4
"EMP101348",4.4,27,6.0,85.0,48.648648648648646,62.5,65.25
"EMP101028",3.4,32.0,8.0,60.0,62.16216216216216,87.5,65.2
"EMP101591",3.4,32.0,8.0,60.0,62.16216216216216,87.5,65.2
"EMP101128",3.0,40.0,5.0,50.0,83.78378378378379,50.0,65.14
"EMP101454",3.0,40.0,5.0,50.0,83.78378378378379,50.0,65.14
"EMP101300",3.2,32.0,9.0,55.0,62.16216216216216,100.0,65.14
"EMP101654",3.0,40.0,5.0,50.0,83.78378378378379,50.0,65.14
"EMP101983",4.0,27.0,8.0,75.0,48.648648648648646,87.5,65.12
"EMP100376",4.0,27,8.0,75.0,48.648648648648646,87.5,65.12
"EMP101437",3.8,35.0,4.0,70.0,70.27027027027027,37.5,65.12
"EMP100071",3.6,35.0,5.0,65.0,70.27027027027027,50.0,65.05
"EMP101618",3.8,27.0,9.0,70.0,48.648648648648646,100.0,65.05
"EMP100685",3.8,27,9.0,70.0,48.648648648648646,100.0,65.05
"EMP100831",3.6,35.0,5.0,65.0,70.27027027027027,50.0,65.05
"EMP101147",3.6,35.0,5.0,65.0,70.27027027027027,50.0,65.05
"EMP101113",3.2,35.0,7.0,55.0,70.27027027027027,75.0,64.92
"EMP100057",3.0,35.0,8.0,50.0,70.27027027027027,87.5,64.86
"EMP101376",3.0,35.0,8.0,50.0,70.27027027027027,87.5,64.86
"EMP100389",2.8,43.0,4.0,45.0,91.89189189189189,37.5,64.85
"EMP101194",3.8,30.0,7.0,70.0,56.75675675675676,75.0,64.84
"EMP101726",3.8,30.0,7.0,70.0,56.75675675675676,75.0,64.84
"EMP101184",2.75,37.0,8.0,43.75,75.67567567567568,87.5,64.79
"EMP100839",2.8,35.0,9.0,45.0,70.27027027027027,100.0,64.79
"EMP101332",3.6,30.0,8.0,65.0,56.75675675675676,87.5,64.77
"EMP101559",4.0,33.0,4.0,75.0,64.86486486486487,37.5,64.68
"EMP101166",3.6,33.0,6.0,65.0,64.86486486486487,62.5,64.55
"EMP100268",3.4,33.0,7.0,60.0,64.86486486486487,75.0,64.49
"EMP100176",2.4,38.0,9.0,35.0,78.37837837837837,100.0,64.44
"EMP101303",3.2,33.0,8.0,55.0,64.86486486486487,87.5,64.42
"EMP101458",3.2,33.0,8.0,55.0,64.86486486486487,87.5,64.42
"EMP100051",3.8,36.0,3.0,70.0,72.97297297297297,25.0,64.4
"EMP100266",3.0,33.0,9.0,50.0,64.86486486486487,100.0,64.36
"EMP101988",2.8,41.0,5.0,45.0,86.48648648648648,50.0,64.36
"EMP101246",3.6,36.0,4.0,65.0,72.97297297297297,37.5,64.34
"EMP101015",3.6,28.0,9.0,65.0,51.351351351351354,100.0,64.28
"EMP100450",3.6,28.0,9.0,65.0,51.351351351351354,100.0,64.28
"EMP101334",3.2,36.0,6.0,55.0,72.97297297297297,62.5,64.21
"EMP101130",3.2,36.0,6.0,55.0,72.97297297297297,62.5,64.21
"EMP101403",4.0,31.0,5.0,75.0,59.45945945945946,50.0,64.19
"EMP100471",3.0,36.0,7.0,50.0,72.97297297297297,75.0,64.14
"EMP101020",3.6,31.0,7.0,65.0,59.45945945945946,75.0,64.06
"EMP100321",3.6,31.0,7.0,65.0,59.45945945945946,75.0,64.06
"EMP101082",4.2,26.0,7.0,80.0,45.945945945945944,75.0,63.97
"EMP101462",3.2,31.0,9.0,55.0,59.45945945945946,100.0,63.93
"EMP100201",3.2,31.0,9.0,55.0,59.45945945945946,100.0,63.93
"EMP101000",3.6,34.0,5.0,65.0,67.56756756756756,50.0,63.84
"EMP101456",3.6,34.0,5.0,65.0,67.56756756756756,50.0,63.84
"EMP100148",3.2,34.0,7.0,55.0,67.56756756756756,75.0,63.71
"EMP101400",3.2,34.0,7.0,55.0,67.56756756756756,75.0,63.71
"EMP100405",3.2,34.0,7.0,55.0,67.56756756756756,75.0,63.71
"EMP101584",4.0,29.0,6.0,75.0,54.054054054054056,62.5,63.69
"EMP100076",3.0,34.0,8.0,50.0,67.56756756756756,87.5,63.65
"EMP101885",2.8,42.0,4.0,45.0,89.1891891891892,37.5,63.64
"EMP100960",2.8,42.0,4.0,45.0,89.1891891891892,37.5,63.64
"EMP100010",2.6,42.0,5.0,40.0,89.1891891891892,50.0,63.58
"EMP100120",3.6,29.0,8.0,65.0,54.054054054054056,87.5,63.56
"EMP101182",3.4,29.0,9.0,60.0,54.054054054054056,100.0,63.5
"EMP100110",3.2,37.0,5.0,55.0,75.67567567567568,50.0,63.49
"EMP101201",3.6,32.0,6.0,65.0,62.16216216216216,62.5,63.34
"EMP101655",3.6,32.0,6.0,65.0,62.16216216216216,62.5,63.34
"EMP100505",3.4,32.0,7.0,60.0,62.16216216216216,75.0,63.28
"EMP101470",4.0,35.0,2.0,75.0,70.27027027027027,12.5,63.26
"EMP100503",3.0,40.0,4.0,50.0,83.78378378378379,37.5,63.21
"EMP100539",3.0,40.0,4.0,50.0,83.78378378378379,37.5,63.21
"EMP101137",4.0,27,7.0,75.0,48.648648648648646,75.0,63.19
"EMP100725",4.0,27,7.0,75.0,48.648648648648646,75.0,63.19
"EMP100449",3.0,32.0,9.0,50.0,62.16216216216216,100.0,63.15
"EMP101084",3.0,32.0,9.0,50.0,62.16216216216216,100.0,63.15
"EMP100034",3.6,35.0,4.0,65.0,70.27027027027027,37.5,63.13
"EMP101684",3.6,27.0,9.0,65.0,48.648648648648646,100.0,63.06
"EMP101687",3.6,27,9.0,65.0,48.648648648648646,100.0,63.06
"EMP101595",3.6,27.0,9.0,65.0,48.648648648648646,100.0,63.06
"EMP101435",3.6,27,9.0,65.0,48.648648648648646,100.0,63.06
